id,fen,plies
KRBKN,8/8/6R1/8/2n5/4K3/1B6/3k4 w - - ,79
KRBKB,8/8/R7/2b5/8/4K3/8/1k4B1 w - - ,59
KRBKR,8/4B3/8/6R1/r7/8/4K3/k7 w - - ,129
KRBKQ,1q6/8/8/8/8/8/8/k1KR2B1 w - - ,41
KQQBK,8/8/8/8/4K1QQ/8/4B3/k7 w - - ,7
KQBKN,8/8/8/8/8/2kB4/1n2Q3/3K4 w - - ,41
KQBKB,7K/8/8/4b3/3k3B/6Q1/8/8 w - - ,33
KQBKR,7K/7r/8/8/8/4Q3/8/1B1k4 w - - ,79
KQBKQ,6Q1/8/8/2K5/8/6B1/8/1k3q2 w - - ,65
KBKNN,8/8/8/8/8/8/n1K5/knB5 w - - ,1
KBKBN,8/8/8/8/8/8/b7/knK3B1 w - - ,3
KBKRN,8/8/8/8/8/8/n1K5/k1Br4 w - - ,1
KBKQN,8/8/8/8/8/8/n1K5/k1B1q3 w - - ,1
KBKBB,8/8/8/8/8/8/b7/k1K1b1B1 w - - ,3
KBKRB,8/8/8/8/8/8/b3r3/k1K1B3 w - - ,3
KBKQB,8/8/8/8/8/8/b3q3/k1K1B3 w - - ,3
KBKRR,,
KBKQR,,
KBKQQ,,
KRRRK,4RRR1/8/8/6K1/8/2k5/8/8 w - - ,9
KQRRK,2Q5/2R5/2R5/2K5/8/8/8/3k4 w - - ,7
KRRKN,8/8/6R1/8/2n5/4K3/1R6/3k4 w - - ,79
KRRKB,8/R7/6R1/8/3b4/8/5K2/2k5 w - - ,57
KRRKR,8/1R6/8/8/8/5rK1/4R3/k7 w - - ,61
KRRKQ,1R6/2R5/8/8/q7/7K/8/k7 w - - ,57
KQQRK,4Q3/4Q3/4R3/4K3/8/8/8/3k4 w - - ,7
KQRKN,8/8/6R1/8/2n5/4K3/1Q6/3k4 w - - ,79
KQRKB,8/Q7/6R1/2K5/8/8/5b2/2k5 w - - ,57
KQRKR,8/8/8/8/3RQ3/2k5/8/K4r2 w - - ,67
KQRKQ,K2q4/R7/8/8/8/8/2k5/Q7 w - - ,133
KRKNN,8/n7/7R/8/8/n1K5/8/1k6 w - - ,81
KRKBN,8/8/1n4R1/2b5/1K6/8/8/3k4 w - - ,81
KRKRN,8/8/1n4R1/2r5/1K6/8/8/3k4 w - - ,81
KRKQN,8/8/1n4R1/2q5/1K6/8/8/3k4 w - - ,81
KRKBB,8/8/8/b1R5/8/3K4/8/1k4b1 w - - ,61
KRKRB,8/8/8/8/Rr6/3K4/8/1k4b1 w - - ,59
KRKQB,8/8/8/8/Rq6/3K4/8/1k4b1 w - - ,59
KRKRR,8/8/8/8/8/1r6/K7/2k2rR1 w - - ,39
KRKQR,8/8/8/8/8/1r6/K7/2k2qR1 w - - ,39
KRKQQ,8/8/8/8/8/8/1R4q1/Kqk5 w - - ,37
KQQQK,4Q1Q1/8/8/8/7Q/8/8/k3K3 w - - ,5
KQQKN,6Q1/8/8/8/5Q2/3k4/4n3/2K5 w - - ,37
KQQKB,8/8/8/8/8/3k1b2/8/2QKQ3 w - - ,29
KQQKR,Kr6/8/8/8/8/3Q4/4Q3/2k5 w - - ,69
KQQKQ,1Q6/Q7/8/8/8/8/2k5/K4q2 w - - ,59
KQKNN,8/8/8/8/4n2Q/3k4/8/3K3n w - - ,143
KQKBN,8/8/8/8/3b4/1Q6/3kn3/K7 w - - ,105
KQKRN,8/2Q5/8/7n/8/3k4/8/1r2K3 w - - ,137
KQKQN,3q4/2n5/8/8/8/8/6Q1/k2K4 w - - ,47
KQKBB,8/1Q6/8/8/2bb4/8/3k4/K7 w - - ,161
KQKRB,8/3Q4/7b/7r/8/8/8/1k5K w - - ,139
KQKQB,8/8/1Q6/8/1K6/6b1/8/qk6 w - - ,47
KQKRR,7r/8/2Q5/8/K7/8/2r5/3k4 w - - ,97
KQKQR,1q6/8/4r3/8/8/8/8/k1K2Q2 w - - ,75
KQKQQ,8/8/8/8/8/8/3q4/qk1K2Q1 w - - ,25
KKNNN,,
KKBNN,,
KKRNN,,
KKQNN,,
KKBBN,,
KKRBN,,
KKQBN,,
KKRRN,,
KKQRN,,
KKQQN,,
KKBBB,,
KKRBB,,
KKQBB,,
KKRRB,,
KKQRB,,
KKQQB,,
KKRRR,,
KKQRR,,
KKQQR,,
KKQQQ,,
KNNPK,5N1N/8/8/8/8/P2k4/8/7K w - - ,55
KBNPK,K1k5/2P5/8/7B/8/8/8/N7 w - - ,65
KRNPK,1k6/RN6/P7/8/8/8/8/6K1 w - - ,33
KQNPK,2Q2K1N/8/8/8/8/2P5/2k5/8 w - - ,17
KNPKN,k7/3P4/2n5/K7/8/8/3N4/8 w - - ,193
KNPKB,8/8/3K4/8/7P/8/Nb6/k7 w - - ,85
KNPKR,1N6/8/8/PK6/3r4/3k4/8/8 w - - ,87
KNPKQ,8/4P3/8/N1K5/k7/8/7q/8 w - - ,81
KBBPK,3B4/1P6/k7/8/8/8/7K/6B1 w - - ,59
KRBPK,8/8/8/8/BR6/kP6/8/K7 w - - ,31
KQBPK,8/8/8/8/8/8/k1PK4/2QB4 w - - ,17
KBPKN,1n6/3P4/8/8/1K6/7B/8/k7 w - - ,199
KBPKB,8/8/6B1/8/2P5/8/2K5/k4b2 w - - ,101
KBPKR,8/r1k5/5P2/3K4/B7/8/8/8 w - - ,89
KBPKQ,K7/1P1q4/k7/7B/8/8/8/8 w - - ,69
KRRPK,8/7K/8/8/2k5/1RPR4/8/8 w - - ,27
KQRPK,1Q6/8/8/8/8/8/kP6/1R5K w - - ,13
KRPKN,8/2n5/8/8/8/k7/P7/R3K3 w - - ,107
KRPKB,8/8/R7/8/8/1k1P4/6b1/K7 w - - ,145
KRPKR,8/8/8/8/2k5/8/1R2K1P1/6r1 w - - ,147
KRPKQ,6R1/P6K/1k6/8/8/8/8/3q4 w - - ,135
KQQPK,8/8/8/8/2P3QQ/8/4K3/k7 w - - ,7
KQPKN,8/Q7/2n5/1k6/3K4/8/7P/8 w - - ,59
KQPKB,8/8/k7/8/1Q6/2K5/6P1/4b3 w - - ,55
KQPKR,8/8/6P1/8/3k4/8/7Q/r2K4 w - - ,73
KQPKQ,2Q5/8/7q/8/8/4P3/8/k3K3 w - - ,247
KPKNN,1n1n2K1/8/2P5/8/8/8/k7/8 w - - ,147
KPKBN,8/8/3P4/8/8/2k5/8/1K2n2b w - - ,109
KPKRN,1n6/1K1P4/8/8/8/8/4r3/1k6 w - - ,135
KPKQN,8/n7/8/1k1q4/3K3P/8/8/8 w - - ,57
KPKBB,K1b5/P7/8/8/8/b1k5/8/8 w - - ,165
KPKRB,8/3P4/7b/7r/8/8/8/1k4K1 w - - ,139
KPKQB,qk6/6P1/6b1/1K6/8/8/8/8 w - - ,47
KPKRR,4K3/3P4/3k2r1/8/8/8/8/r7 w - - ,99
KPKQR,8/2k2P2/4q3/2rK4/8/8/8/8 w - - ,85
KPKQQ,qk4q1/5P2/8/1K6/8/8/8/8 w - - ,25
KNNKP,1N6/8/p7/8/8/8/2k1N3/K7 w - - ,229
KBNKP,8/8/3K4/8/8/1p6/k7/5B1N w - - ,207
KRNKP,8/8/8/4R3/8/2k3N1/3p4/K7 w - - ,57
KQNKP,8/8/2K4N/8/8/5Q2/p1k5/8 w - - ,59
KNKNP,8/8/8/8/pn6/8/N7/k1K5 w - - ,13
KNKBP,8/8/8/b7/8/p7/3N4/k1K5 w - - ,15
