id,fen,plies
KQBBKR,7K/6Br/8/8/8/4Q3/8/1B1k4 w - - ,79
KQBBKQ,8/7K/8/5q2/2B5/8/1k2B3/7Q w - - ,191
KBBKNN,4n3/8/8/B7/8/3K4/8/n1kB4 w - - ,211
KBBKBN,7b/6n1/8/5B2/8/7K/8/2k3B1 w - - ,179
KBBKRN,8/8/8/5r2/1n6/B2k4/B7/2K5 w - - ,159
KBBKQN,8/8/8/5q2/1n6/B2k4/B7/2K5 w - - ,159
KBBKBB,8/3B4/8/8/8/8/8/k1Kbb1B1 w - - ,45
KBBKRB,8/3B4/8/8/3r4/8/8/k1K1b1B1 w - - ,45
KBBKQB,8/3B4/8/8/3q4/8/8/k1K1b1B1 w - - ,45
KBBKRR,4r3/8/8/8/3r4/8/8/k1K3BB w - - ,45
KBBKQR,4r3/8/8/8/3q4/8/8/k1K3BB w - - ,45
KBBKQQ,8/3q4/8/8/BB6/8/3q4/K1k5 w - - ,41
KRRRBK,8/5K2/4R3/8/2R5/3kB3/4R3/8 w - - ,11
KQRRBK,6RQ/6KR/7B/8/8/8/2k5/8 w - - ,9
KRRBKN,8/8/1R6/5K2/2R5/4n3/1B6/1k6 w - - ,67
KRRBKB,K7/8/8/5R2/4R3/3kB3/8/7b w - - ,55
KRRBKR,8/6B1/8/2R5/R7/8/8/1k3rK1 w - - ,137
KRRBKQ,1B6/8/8/8/8/8/4qKRR/3k4 w - - ,179
KQQRBK,8/8/8/8/4KRQQ/8/4B3/k7 w - - ,7
KQRBKN,8/8/1R6/5K2/2Q5/4n3/1B6/1k6 w - - ,67
KQRBKB,8/4Q3/8/2K5/8/b7/2Bk4/2R5 w - - ,53
KQRBKR,8/6B1/8/2R5/Q7/8/7K/1k5r w - - ,135
KQRBKQ,8/R7/8/6B1/8/7q/2k5/Q6K w - - ,133
KRBKNN,8/K7/2nn4/8/8/1B1k4/1R6/8 w - - ,475
KRBKBN,B7/8/8/4b3/8/1R6/3kn3/K7 w - - ,223
KRBKRN,6n1/8/8/2B1R3/r1K5/8/8/2k5 w - - ,135
KRBKQN,8/6q1/8/1n6/1K6/8/8/1kBR4 w - - ,83
KRBKBB,8/8/8/5K2/1R6/8/5b2/kB3b2 w - - ,183
KRBKRB,2R5/8/8/B7/7b/3r4/8/k1K5 w - - ,129
KRBKQB,8/8/5B2/6q1/3K4/8/5R2/k5b1 w - - ,63
KRBKRR,5r2/8/7B/5R2/r7/4K3/8/2k5 w - - ,133
KRBKQR,8/4R3/8/8/5B2/3q4/2K4r/k7 w - - ,129
KRBKQQ,1q6/8/8/8/3B4/2R1q3/8/k1K5 w - - ,41
KQQQBK,2QQ4/2Q5/3B4/2K5/8/8/8/3k4 w - - ,7
KQQBKN,3Q4/8/2Q5/8/1n1B4/3k4/K7/8 w - - ,31
KQQBKB,3Q4/8/8/8/8/2b5/Q1B5/K1k5 w - - ,27
KQQBKR,8/8/8/8/8/1Q6/2Q5/k2B1rK1 w - - ,83
KQQBKQ,6Q1/8/5B2/8/8/8/3k4/QK1q4 w - - ,79
KQBKNN,3B3K/5n2/8/8/3n4/8/3k4/1Q6 w - - ,137
KQBKBN,8/8/8/8/3b4/1Q6/3kn3/K2B4 w - - ,105
KQBKRN,1n2Q3/8/2K5/8/8/8/2rB4/3k4 w - - ,137
KQBKQN,Q7/8/7q/8/2B5/3K4/n7/2k5 w - - ,83
KQBKBB,8/1Q6/8/8/2bb4/3B4/3k4/K7 w - - ,161
KQBKRB,8/b7/6Q1/8/8/5B2/3k4/K1r5 w - - ,143
KQBKQB,7q/1B5b/8/8/7Q/3k4/8/3K4 w - - ,115
KQBKRR,4r3/1Q6/2B5/8/8/2k5/4rK2/8 w - - ,213
KQBKQR,q7/r2B4/8/8/8/8/6Q1/k3K3 w - - ,97
KQBKQQ,8/8/7q/8/8/qQ1K4/B7/2k5 w - - ,67
KBKNNN,8/8/8/8/8/8/n1K5/knB2n2 w - - ,1
KBKBNN,8/8/8/8/8/8/b1n4B/knK5 w - - ,5
KBKRNN,8/8/8/8/8/8/n1K5/knBr4 w - - ,1
KBKQNN,8/8/8/8/8/8/n1K5/knB1q3 w - - ,1
KBKBBN,8/8/8/8/8/8/b6B/knK3b1 w - - ,5
KBKRBN,8/8/8/8/8/8/b3r3/knK3B1 w - - ,5
KBKQBN,8/8/8/8/8/8/b3q3/knK3B1 w - - ,5
KBKRRN,8/8/8/8/8/8/n1K5/k1Brr3 w - - ,1
KBKQRN,8/8/8/8/8/8/n1K5/k1Brq3 w - - ,1
KBKQQN,8/8/8/8/8/8/n1K5/k1B1qq2 w - - ,1
KBKBBB,8/8/8/8/8/8/b6B/k1K1b1b1 w - - ,5
KBKRBB,8/8/8/8/8/8/b3r3/k1K1b1B1 w - - ,5
KBKQBB,8/8/8/8/8/8/b3q3/k1K1b1B1 w - - ,5
KBKRRB,8/8/8/8/8/r7/b3r3/k1K3B1 w - - ,5
KBKQRB,8/8/8/8/8/5q2/b3r3/k1K3B1 w - - ,5
KBKQQB,8/8/8/8/8/5q2/b3q3/k1K3B1 w - - ,5
KBKRRR,,
KBKQRR,,
KBKQQR,,
KBKQQQ,,
KRRRRK,R7/R7/R7/R7/K7/8/8/2k5 w - - ,7
KQRRRK,8/8/4R1RQ/6KR/8/8/1k6/8 w - - ,7
KRRRKN,8/R7/8/3R4/1R6/8/2n5/K1k5 w - - ,63
KRRRKB,7K/8/5b2/4R3/3R4/2R5/1k6/8 w - - ,35
KRRRKR,6rK/8/8/8/2R5/3k4/2R5/4R3 w - - ,65
KRRRKQ,1R4R1/8/8/R7/4q3/8/2k5/4K3 w - - ,137
KQQRRK,7Q/6RQ/6KR/8/8/8/3k4/8 w - - ,7
KQRRKN,8/R7/8/3Q4/1R6/8/2n5/K1k5 w - - ,63
KQRRKB,8/8/8/8/6b1/3k4/8/2RKQR2 w - - ,35
KQRRKR,8/7K/7r/8/1RQ5/8/6R1/k7 w - - ,81
KQRRKQ,8/R7/3R4/8/K7/1q6/2k5/Q7 w - - ,133
KRRKNN,8/7R/2n2n2/7R/4K3/8/8/2k5 w - - ,85
KRRKBN,4n1b1/8/8/8/2R5/8/4R3/1K1k4 w - - ,87
KRRKRN,8/4n3/8/1R6/1R6/K7/2k5/7r w - - ,177
KRRKQN,5q2/1n6/6K1/8/6RR/8/8/k7 w - - ,85
KRRKBB,8/8/6b1/4b3/3R4/8/2k5/R6K w - - ,89
KRRKRB,8/8/8/4R3/7b/K5R1/8/1k1r4 w - - ,133
KRRKQB,8/R7/8/8/8/8/2k1KR2/1qb5 w - - ,67
KRRKRR,8/8/8/8/1r6/6K1/RR6/1rk5 w - - ,79
KRRKQR,8/5R2/5r2/8/8/6K1/3Rq3/1k6 w - - ,65
KRRKQQ,1R6/1R6/8/8/q7/7q/6K1/k7 w - - ,57
KQQQRK,4Q1Q1/8/8/8/4R2Q/8/8/k3K3 w - - ,5
KQQRKN,8/R7/8/3Q4/1Q6/8/2n5/K1k5 w - - ,63
KQQRKB,8/8/8/8/5R2/2k1b3/8/1QKQ4 w - - ,27
KQQRKR,8/1R6/8/8/Kr6/3Q4/4Q3/2k5 w - - ,73
KQQRKQ,K3q3/R7/8/3Q4/8/8/2k5/Q7 w - - ,135
KQRKNN,3R3K/5n2/8/8/3n4/8/3k4/1Q6 w - - ,137
KQRKBN,8/8/8/1R6/3b4/1Q6/3kn3/K7 w - - ,105
KQRKRN,8/8/8/7Q/2R5/3k4/7n/1r3K2 w - - ,133
KQRKQN,8/3R4/1q6/1n3Q2/7K/8/8/2k5 w - - ,165
KQRKBB,8/8/6R1/7b/8/2k5/Q4b2/3K4 w - - ,161
KQRKRB,8/R7/6Q1/8/3b4/8/1K1k4/5r2 w - - ,141
KQRKQB,8/7Q/8/8/4q3/8/2k4K/R6b w - - ,177
KQRKRR,7R/Q7/8/8/8/8/8/1k1rKr2 w - - ,113
KQRKQR,3q4/R7/8/Q2r4/8/3k4/8/5K2 w - - ,233
KQRKQQ,q7/7K/3q4/7R/8/8/5Q2/1k6 w - - ,159
KRKNNN,8/1R2n3/8/8/8/8/n7/k1K3n1 w - - ,81
KRKBNN,7n/6R1/8/8/8/3b4/2K5/k5n1 w - - ,81
KRKRNN,8/rR6/8/8/8/8/2nK2n1/k7 w - - ,81
KRKQNN,7n/6R1/8/8/8/3q4/2K5/k5n1 w - - ,81
KRKBBN,8/8/n7/8/8/1K6/Rb4b1/1k6 w - - ,79
KRKRBN,8/8/n7/8/8/1K6/Rr4b1/1k6 w - - ,79
KRKQBN,8/8/n7/8/8/1K6/Rq4b1/1k6 w - - ,79
KRKRRN,8/n7/7R/8/1r6/1Kr5/8/2k5 w - - ,79
KRKQRN,8/n7/7R/8/1r6/1Kq5/8/2k5 w - - ,79
KRKQQN,8/8/8/7n/8/4K3/8/q2k1qR1 w - - ,77
KRKBBB,8/8/8/bbR5/8/3K4/8/1k4b1 w - - ,61
KRKRBB,8/8/8/brR5/8/3K4/8/1k4b1 w - - ,61
KRKQBB,8/8/8/bqR5/8/3K4/8/1k4b1 w - - ,61
KRKRRB,8/8/8/1R6/8/8/2r5/k1Kr2b1 w - - ,53
KRKQRB,8/8/8/1R6/8/8/2q5/k1Kr2b1 w - - ,53
KRKQQB,q7/8/8/8/8/b2K4/R7/q2k4 w - - ,51
KRKRRR,8/8/1R6/1r6/1r6/1r6/8/k1K5 w - - ,7
KRKQRR,8/8/1R6/4q3/1r6/1r6/8/k1K5 w - - ,7
KRKQQR,8/8/1R6/4q3/3q4/1r6/8/k1K5 w - - ,7
KRKQQQ,1R6/8/8/4q3/3q4/3q4/8/k1K5 w - - ,7
KQQQQK,4Q1Q1/8/8/8/6QQ/8/4K3/k7 w - - ,5
KQQQKN,Q7/8/Q7/8/1Q6/8/2n5/K1k5 w - - ,15
KQQQKB,3Q4/3Q4/8/7Q/4b3/8/8/k6K w - - ,9
KQQQKR,8/1Q6/8/8/Kr6/3Q4/4Q3/2k5 w - - ,73
KQQQKQ,1Q6/Q7/8/8/3q4/8/2k5/K4Q2 w - - ,61
KQQKNN,3Q3K/5n2/8/8/3n4/8/3k4/1Q6 w - - ,137
KQQKBN,8/8/8/1Q5Q/8/2n5/K1k1b3/8 w - - ,95
KQQKRN,8/8/8/8/6n1/3k4/1r4KQ/4Q3 w - - ,131
KQQKQN,1Q5n/Q7/8/8/8/K7/3k4/q7 w - - ,119
KQQKBB,8/8/4Q3/8/3k4/3b2b1/8/3QK3 w - - ,161
KQQKRB,2Q5/8/8/7Q/8/4b2r/3k4/6K1 w - - ,139
KQQKQB,7Q/4Q3/8/8/8/8/2k5/3qKb2 w - - ,141
KQQKRR,r2K4/8/7r/8/8/3Q4/7Q/2k5 w - - ,95
KQQKQR,5rq1/8/8/6QQ/5K2/8/8/k7 w - - ,137
KQQKQQ,7K/3q4/8/3q4/8/7Q/7Q/1k6 w - - ,99
KQKNNN,n7/2n5/Q7/8/K7/8/8/1n1k4 w - - ,161
KQKBNN,8/8/8/5K2/7n/8/5b1Q/k3n3 w - - ,177
KQKRNN,7n/1n6/3Q4/8/2K5/8/5r2/2k5 w - - ,163
KQKQNN,7q/8/8/8/8/2k5/3n4/1Q1K3n w - - ,147
KQKBBN,8/8/6b1/7n/8/4K2Q/1k6/6b1 w - - ,227
KQKRBN,7r/Q7/1K6/8/7b/8/7n/1k6 w - - ,157
KQKQBN,8/8/8/8/8/3k2q1/3n4/Qb5K w - - ,109
KQKRRN,1r6/8/8/8/5r2/Q6K/7n/1k6 w - - ,141
KQKQRN,8/2Q5/8/7n/8/3k4/1r6/3Kq3 w - - ,139
KQKQQN,q7/8/q1n5/8/2Q5/2K5/8/2k5 w - - ,49
KQKBBB,8/8/8/5b2/7b/6b1/8/k4KQ1 w - - ,193
KQKRBB,1Q6/5b2/8/8/7K/8/8/b1k3r1 w - - ,177
KQKQBB,8/8/5q2/8/8/4b3/3kb3/1K4Q1 w - - ,167
KQKRRB,8/3r4/7b/5r2/8/8/2Q5/k6K w - - ,143
KQKQRB,8/3Q4/7b/1r6/8/8/8/1k4Kq w - - ,141
KQKQQB,8/8/8/8/1K6/6b1/8/qk4qQ w - - ,47
KQKRRR,8/5r2/8/7K/8/8/6rQ/r2k4 w - - ,101
KQKQRR,8/2r5/8/K7/8/8/1q1k4/Q6r w - - ,99
KQKQQR,1q6/8/4rq2/8/8/8/8/k1K4Q w - - ,77
KQKQQQ,8/8/q7/8/4q3/1K6/6Qq/1k6 w - - ,25
KKNNNN,,
KKBNNN,,
KKRNNN,,
KKQNNN,,
KKBBNN,,
KKRBNN,,
KKQBNN,,
KKRRNN,,
KKQRNN,,
KKQQNN,,
KKBBBN,,
KKRBBN,,
KKQBBN,,
KKRRBN,,
KKQRBN,,
KKQQBN,,
KKRRRN,,
KKQRRN,,
KKQQRN,,
KKQQQN,,
KKBBBB,,
KKRBBB,,
KKQBBB,,
KKRRBB,,
KKQRBB,,
KKQQBB,,
KKRRRB,,
KKQRRB,,
KKQQRB,,
KKQQQB,,
KKRRRR,,
KKQRRR,,
KKQQRR,,
KKQQQR,,
KKQQQQ,,
KNNNPK,8/2NN4/8/k7/N7/P7/8/7K w - - ,49
KBNNPK,k1K5/1N5N/1P6/8/8/8/8/1B6 w - - ,57
KRNNPK,8/8/8/Nk6/RN6/P7/8/7K w - - ,35
KQNNPK,4N2Q/6KN/8/8/8/2P5/8/k7 w - - ,15
KNNPKN,N2n4/1P6/k7/4N3/3K4/8/8/8 w - - ,183
KNNPKB,8/7N/4b3/8/8/1Nk5/4P3/6K1 w - - ,159
KNNPKR,8/8/4PN2/K7/8/7N/1r6/1k6 w - - ,131
KNNPKQ,4K3/1P6/1k5q/8/8/8/8/2N2N2 w - - ,149
KBBNPK,K2k4/3B4/3P1N2/8/8/7B/8/8 w - - ,63
KRBNPK,8/8/8/8/B7/RN6/Pk6/7K w - - ,33
KQBNPK,2N5/8/8/8/8/8/k1PK4/2QB4 w - - ,19
KBNPKN,2n5/8/8/4NK2/8/k7/P6B/8 w - - ,221
KBNPKB,8/8/8/8/7b/8/1K1k1P2/N5B1 w - - ,139
KBNPKR,8/rk6/8/7N/K6B/8/6P1/8 w - - ,281
KBNPKQ,3N4/3P4/2K5/8/1k1q4/8/7B/8 w - - ,225
KRRNPK,3K4/N7/8/8/3R4/2kP4/3R4/8 w - - ,23
KQRNPK,1Q5N/8/8/8/8/8/kP5K/1R6 w - - ,13
KRNPKN,1k6/R7/2nP4/K5N1/8/8/8/8 w - - ,175
KRNPKB,8/8/8/8/4b3/1k2PN2/8/1KR5 w - - ,141
KRNPKR,8/7N/8/8/8/2k5/4r2P/K2R4 w - - ,169
KRNPKQ,7q/8/1NK5/4P3/1R6/8/8/k7 w - - ,245
KQQNPK,7Q/6NQ/7K/5P2/8/8/8/2k5 w - - ,9
KQNPKN,8/7K/5n2/3Q4/8/8/7P/Nk6 w - - ,121
KQNPKB,8/8/8/8/1N6/4b3/7P/k1K3Q1 w - - ,83
KQNPKR,7K/7r/4P3/8/8/NQ6/8/k7 w - - ,89
KQNPKQ,K3q3/3N4/8/8/8/k3P3/4Q3/8 w - - ,265
KNPKNN,k7/8/n2P4/1K3n2/8/6N1/8/8 w - - ,197
KNPKBN,k7/8/K2P4/8/8/5N2/n2b4/8 w - - ,197
KNPKRN,k7/3P4/n7/8/1K6/1N6/2r5/8 w - - ,197
KNPKQN,k7/3P4/q7/K7/3n4/8/3N4/8 w - - ,195
KNPKBB,8/8/5b2/PNK5/8/1b6/8/3k4 w - - ,171
KNPKRB,5b2/8/2P5/8/8/8/1N1k3r/6K1 w - - ,147
KNPKQB,8/4P2q/8/8/k1K5/8/8/2b1N3 w - - ,89
KNPKRR,6N1/1P6/3K4/8/8/k7/8/r5r1 w - - ,349
KNPKQR,k7/5P2/8/3N4/8/6K1/r7/7q w - - ,101
KNPKQQ,4q3/3P4/8/N1K5/k7/8/7q/8 w - - ,81
KBBBPK,7B/B5K1/8/B7/8/8/P7/k7 w - - ,47
KRBBPK,8/8/8/B7/RB6/Pk3K2/8/8 w - - ,41
KQBBPK,8/2K5/8/8/8/8/k1PB4/2QB4 w - - ,19
KBBPKN,8/1n6/3P3B/8/5K2/8/k7/4B3 w - - ,209
KBBPKB,b7/8/6B1/3K4/8/8/2P5/Bk6 w - - ,107
KBBPKR,2B5/4Br2/K1k5/8/8/8/6P1/8 w - - ,359
KBBPKQ,6K1/P7/1q6/1B6/2B5/8/8/1k6 w - - ,195
KRRBPK,7K/8/8/8/8/BRPR4/2k5/8 w - - ,21
KQRBPK,1Q6/8/8/8/8/1P6/BR6/k5K1 w - - ,11
KRBPKN,8/8/8/2K5/k7/3n1P1B/8/4R3 w - - ,181
KRBPKB,b7/8/8/8/8/2k5/4P1K1/6BR w - - ,141
KRBPKR,8/8/1B6/1k6/R7/2r5/6P1/K7 w - - ,151
KRBPKQ,8/7q/1R1P4/8/8/7B/3K4/k7 w - - ,253
KQQBPK,1Q6/Q1B5/KP6/8/8/8/8/3k4 w - - ,9
KQBPKN,8/8/8/2K5/k7/3n1P1B/8/4Q3 w - - ,181
KQBPKB,8/8/8/8/2P5/1K3Q2/8/kB1b4 w - - ,101
KQBPKR,8/8/2k2P2/8/8/Q4K1r/B7/8 w - - ,85
KQBPKQ,5q2/2B5/8/4Q3/8/P2k1K2/8/8 w - - ,315
KBPKNN,K1kn4/B3P3/8/8/2n5/8/8/8 w - - ,441
KBPKBN,1n1b4/k1P5/3B4/K7/8/8/8/8 w - - ,199
KBPKRN,3r4/2P5/7B/6n1/3K4/8/k7/8 w - - ,203
KBPKQN,3q4/2P5/7B/6n1/3K4/8/k7/8 w - - ,203
KBPKBB,1b6/8/7P/k7/8/3K3b/7B/8 w - - ,169
KBPKRB,8/2P5/8/r5bB/8/8/3k4/6K1 w - - ,141
KBPKQB,6bq/3P4/1k6/8/K7/8/8/5B2 w - - ,115
KBPKRR,8/r2P4/8/8/8/6r1/7B/1k3K2 w - - ,211
KBPKQR,2q5/kP6/2K5/3r4/8/8/B7/8 w - - ,97
KBPKQQ,Kq6/P2q4/k7/7B/8/8/8/8 w - - ,69
KRRRPK,7K/8/R7/2R5/1kP5/2R5/8/8 w - - ,15
KQRRPK,1R6/1Q6/1RK5/1P6/8/8/8/k7 w - - ,9
KRRPKN,8/RK6/3n4/3k4/2R5/4P3/8/8 w - - ,107
KRRPKB,8/8/8/8/8/3bP3/4R3/RK1k4 w - - ,139
KRRPKR,8/8/8/8/2k5/8/1R4P1/r2K2R1 w - - ,149
KRRPKQ,7q/k7/8/1R6/8/8/2R2P2/7K w - - ,505
KQQRPK,8/8/8/8/2P1R1QQ/8/4K3/k7 w - - ,7
KQRPKN,8/R7/8/4Q3/8/Pk1n4/8/4K3 w - - ,101
KQRPKB,8/8/4Q3/3b4/8/8/K1kP4/R7 w - - ,133
KQRPKR,8/8/8/8/2k5/8/1R4P1/r2K2Q1 w - - ,149
KQRPKQ,8/4R3/8/8/8/K1q1P1Q1/8/k7 w - - ,253
KRPKNN,8/1P1k4/2R5/n7/1n6/K7/8/8 w - - ,505
KRPKBN,8/6P1/8/7n/5K2/4R1b1/8/1k6 w - - ,407
KRPKRN,8/5R2/8/8/2k2n2/5K2/6P1/4r3 w - - ,149
KRPKQN,7n/6P1/k7/8/1R6/8/7q/5K2 w - - ,157
KRPKBB,8/8/2P5/2kb2R1/4b1K1/8/8/8 w - - ,271
KRPKRB,8/5R2/8/8/2k1rb2/8/4K1P1/8 w - - ,151
KRPKQB,bK6/6P1/8/2q5/8/1k6/8/R7 w - - ,179
KRPKRR,8/5R2/8/8/2k2r2/5K2/6P1/4r3 w - - ,149
KRPKQR,6R1/5P2/8/2k1r2q/8/K7/8/8 w - - ,235
KRPKQQ,8/7P/2q5/8/8/2k5/6RK/q7 w - - ,159
KQQQPK,8/1Q6/1Q6/7Q/1P6/8/4K3/k7 w - - ,7
KQQPKN,8/8/8/8/P2Q4/K4Q2/2n5/1k6 w - - ,47
KQQPKB,8/8/8/3b4/4Q3/P1k5/K6Q/8 w - - ,31
KQQPKR,k7/P5Q1/Q7/8/8/8/r7/K7 w - - ,91
KQQPKQ,k1K1q3/8/8/8/8/8/6P1/5Q1Q w - - ,243
KQPKNN,8/2n5/8/K7/1Pn5/8/2k5/7Q w - - ,159
KQPKBN,1K6/3n4/2k3P1/4Q3/8/8/5b2/8 w - - ,111
KQPKRN,8/2n5/8/8/1K3r2/Q7/2kP4/8 w - - ,219
KQPKQN,4n1Q1/8/8/8/2K5/4P3/k4q2/8 w - - ,255
KQPKBB,8/8/P7/8/3k4/4b3/4b3/5QK1 w - - ,167
KQPKRB,8/1kb5/8/8/3r4/8/4P3/2K1Q3 w - - ,309
KQPKQB,4b3/8/8/8/6Q1/k1K1P3/5q2/8 w - - ,255
KQPKRR,8/1k2P3/8/4K3/8/8/2r4r/Q7 w - - ,329
KQPKQR,4r3/8/8/8/8/4P3/1k1K1Q2/1q6 w - - ,251
KQPKQQ,2Q5/8/7q/8/8/4P3/3q4/k1K5 w - - ,247
KPKNNN,n7/8/5P2/k6K/8/8/8/n6n w - - ,163
KPKBNN,8/1P3n2/1b2K3/n7/8/8/8/k7 w - - ,179
KPKRNN,7n/5P2/1r6/8/8/k2K4/6n1/8 w - - ,163
KPKQNN,1n1n2q1/2P2K2/8/8/8/8/k7/8 w - - ,147
KPKBBN,8/bb3P2/8/8/8/2k5/8/1K1n4 w - - ,229
KPKRBN,1n5r/P7/1b6/8/8/k7/8/4K3 w - - ,159
KPKQBN,8/3P4/8/8/8/2k5/8/Kq2n2b w - - ,109
KPKRRN,k7/2P4r/8/8/8/3r4/8/1nK5 w - - ,143
KPKQRN,1n1q4/1KP5/8/8/8/8/4r3/1k6 w - - ,135
KPKQQN,8/6P1/8/8/8/2K2n2/k7/5q1q w - - ,47
KPKBBB,8/4P3/8/4b1b1/8/7b/5K2/3k4 w - - ,195
KPKRBB,5b1r/P7/k7/8/8/8/4b1K1/8 w - - ,179
KPKQBB,1K6/2Pkb3/4b3/8/8/8/8/7q w - - ,167
KPKRRB,8/2Pr4/7b/5r2/8/8/8/2k4K w - - ,143
KPKQRB,3q4/2P5/7b/7r/8/8/8/1k4K1 w - - ,139
KPKQQB,qk4q1/5P2/6b1/1K6/8/8/8/8 w - - ,47
KPKRRR,4K3/Pr6/6r1/8/k7/8/8/r7 w - - ,101
KPKQRR,3qK3/2P5/3k2r1/8/8/8/8/r7 w - - ,99
KPKQQR,8/P7/5q2/5r2/8/1K6/7q/k7 w - - ,77
KPKQQQ,k4q2/4P3/2K5/7q/8/8/3q4/8 w - - ,19
KNNNKP,8/7p/8/8/8/2NN4/3k2K1/N7 w - - ,217
KBNNKP,8/8/8/1kB4p/2N3K1/8/8/N7 w - - ,215
KRNNKP,8/8/8/p7/1K6/4R3/3k4/6NN w - - ,213
KQNNKP,8/8/8/6p1/6KQ/2N5/8/k2N4 w - - ,183
KNNKNP,7n/1K2p3/8/8/8/3N4/3N4/k7 w - - ,275
KNNKBP,1N6/8/p7/8/8/8/b1k1N3/K7 w - - ,229
KNNKRP,1N6/8/p7/8/8/8/r1k1N3/K7 w - - ,229
KNNKQP,1N6/8/p7/8/8/8/q1k1N3/K7 w - - ,229
KBBNKP,8/8/3K4/8/8/kB1B4/1p6/N7 w - - ,205
KRBNKP,R3B3/N7/8/8/8/3K4/6p1/1k6 w - - ,243
KQBNKP,Q3B3/N7/8/8/8/8/1p6/K1k5 w - - ,145
KBNKNP,k7/6p1/8/1n1K4/8/5N2/8/4B3 w - - ,255
KBNKBP,8/8/3b4/2K5/1p6/8/k7/5B1N w - - ,209
KBNKRP,8/8/3r4/2K5/1p6/8/k7/5B1N w - - ,209
KBNKQP,8/8/3q4/2K5/1p6/8/k7/5B1N w - - ,209
KRRNKP,N7/8/8/5R2/8/7R/3p4/2k1K3 w - - ,177
KQRNKP,4Q2R/8/8/8/8/8/1p6/K1k3N1 w - - ,97
KRNKNP,8/8/8/8/k7/8/N2p2R1/4n1K1 w - - ,503
KRNKBP,5N2/4K3/8/5R2/1p6/8/k6b/8 w - - ,387
KRNKRP,k7/8/1K4p1/8/r7/8/3N4/3R4 w - - ,103
KRNKQP,8/8/8/4R3/8/3p2q1/3k3N/K7 w - - ,61
KQQNKP,8/Q7/2Q5/2N5/8/8/1p6/K1k5 w - - ,73
KQNKNP,8/8/8/2k5/2nN4/5Q2/1p1K4/8 w - - ,131
KQNKBP,3K4/8/8/b7/8/6Q1/kp1N4/8 w - - ,101
KQNKRP,8/2r4K/8/2N5/2p5/8/k7/7Q w - - ,205
KQNKQP,8/3k1K2/5p2/6N1/8/8/6Q1/q7 w - - ,129
KNKNNP,8/8/1n3n2/8/5N2/8/p1K5/k7 w - - ,13
KNKBNP,8/8/8/b7/8/pn6/3N4/k1K5 w - - ,15
KNKRNP,8/8/8/8/3N4/pn6/3r4/k1K5 w - - ,15
KNKQNP,8/8/8/q7/8/pn6/3N4/k1K5 w - - ,15
KNKBBP,8/8/8/b7/8/pb6/3N4/k1K5 w - - ,15
KNKRBP,8/8/8/8/3N4/pb6/3r4/k1K5 w - - ,15
KNKQBP,8/8/8/q7/8/pb6/3N4/k1K5 w - - ,15
KNKRRP,8/8/8/8/3N4/pr6/3r4/k1K5 w - - ,15
KNKQRP,8/8/8/8/3N4/pq6/3r4/k1K5 w - - ,15
KNKQQP,8/8/8/q7/8/pq6/3N4/k1K5 w - - ,15
KBBBKP,8/8/2B5/8/8/8/1Bkp4/B3K3 w - - ,147
KRBBKP,8/8/8/8/8/8/BR1p4/B1k1K3 w - - ,151
KQBBKP,8/8/8/8/8/4Q3/1pkB3B/K7 w - - ,157
KBBKNP,K7/8/8/k7/Bp6/7n/7B/8 w - - ,261
KBBKBP,8/8/8/2k5/1b5B/3B2p1/4K3/8 w - - ,149
KBBKRP,8/8/8/2k5/6B1/1p2r3/8/3KB3 w - - ,151
KBBKQP,8/8/8/2k5/1q5B/3B2p1/4K3/8 w - - ,149
KRRBKP,8/8/8/7R/8/8/1p6/K1k3BR w - - ,145
KQRBKP,Q7/R7/8/1B6/8/8/1p6/K1k5 w - - ,111
KRBKNP,8/4K3/2n5/8/6R1/3p2B1/3k4/8 w - - ,457
KRBKBP,8/8/8/8/8/K7/1pkb4/3R3B w - - ,201
KRBKRP,k2r4/8/8/Kp6/8/7R/8/3B4 w - - ,153
KRBKQP,6R1/8/7B/4q3/8/5K2/6p1/k7 w - - ,75
KQQBKP,3Q4/Q7/8/8/2B5/8/1p6/K1k5 w - - ,59
KQBKNP,8/6Q1/8/3n4/1K3B2/8/1pk5/8 w - - ,125
KQBKBP,5B2/8/1K6/8/2k5/8/7p/Q5b1 w - - ,115
KQBKRP,8/7Q/8/1pr4K/2B5/8/1k6/8 w - - ,209
KQBKQP,7q/7p/8/k7/6BQ/8/8/4K3 w - - ,125
KBKNNP,8/8/8/8/6n1/8/p1n5/k1K3B1 w - - ,19
KBKBNP,1B6/8/8/8/8/8/p1b5/k2K2n1 w - - ,17
KBKRNP,1B6/8/8/8/8/8/p1r5/k1K3n1 w - - ,17
KBKQNP,1B6/8/8/8/8/8/p1q5/k1K3n1 w - - ,17
KBKBBP,8/8/8/8/8/8/p1b5/kbBK4 w - - ,7
KBKRBP,8/8/8/6B1/8/8/p6r/k2K1b2 w - - ,9
KBKQBP,8/8/8/8/8/B7/p7/kbKq4 w - - ,5
KBKRRP,8/8/8/8/8/r7/p3r3/k1K3B1 w - - ,5
KBKQRP,8/8/8/8/8/5q2/p3r3/k1K3B1 w - - ,5
KBKQQP,8/8/8/8/8/3q4/p5qB/k1K5 w - - ,5
KRRRKP,7R/8/5R2/8/8/5R2/1pk5/K7 w - - ,91
KQRRKP,8/R7/8/3Q4/5R2/2k5/1p6/K7 w - - ,89
